Contract Name,distance =0,0 < distance< 100,100 < distance < 1000
Ballot,7,1,3
Blind Auction,0,0,0
Safe Remote Purchase,0,0,5137
Simple Auction,1,0,6761
Coin,94,1,8815
Crowdsale,4,0,29
Greeter,127,47,9183
Mortal,7,48,8669
Token,0,2728,5965
